Consumer_id,Age_Group,Gender,Salary,Education,Employment,Location_by_region,Choco_Consumption,Sustainability_Score
147,1,2,3,2,1,1,4,1.10245
148,1,2,3,2,1,1,3,0.82299
149,1,1,3,2,1,1,3,-0.1592
150,2,2,3,2,1,1,3,-0.10054
151,2,2,0,2,1,1,4,0.64508
152,2,2,3,1,2,1,5,1.12813
153,2,2,3,2,1,1,5,0.22842
154,2,2,4,2,1,1,4,0.61347
155,2,2,4,2,1,1,3,0.6858
156,2,2,2,1,9,1,3,1.22928
157,2,2,2,2,2,1,2,0.96187
158,1,2,3,1,3,1,3,0.51805
159,1,2,2,1,3,1,4,0.81834
160,1,2,2,2,3,1,2,-0.10054
161,2,2,3,1,1,1,3,0.93214
162,2,1,0,2,1,1,4,0.084
163,2,2,3,2,1,1,4,0.29628
164,1,2,1,2,3,1,4,0.7657
165,2,2,3,2,1,1,4,0.82338
166,1,2,1,1,3,2,2,0.09211
167,2,1,3,2,4,1,3,0.45186
168,1,2,2,2,1,1,2,0.82338
169,1,2,1,1,3,1,3,-0.31439
170,2,2,3,2,1,1,3,-0.87705
171,1,2,1,2,3,1,2,0.78861
172,1,2,0,1,3,1,3,0.38657
173,1,1,1,1,3,2,4,0.7657
174,2,1,3,2,1,1,3,0.22496
175,2,2,3,2,2,1,3,0.45355
176,2,2,1,2,2,1,3,0.22031
177,1,1,1,2,3,1,2,0.4163
178,1,2,1,1,3,1,5,0.37935
179,2,2,3,2,2,1,2,0.93214
180,2,2,3,2,2,1,2,0.49533
181,2,1,5,2,1,1,2,0.29746
182,2,1,4,2,1,1,4,0.47863
183,1,2,3,2,1,1,4,1.4072
184,2,1,4,2,1,1,3,0.99664
185,2,2,3,2,1,1,1,0.48276
186,2,2,2,1,2,1,3,0.51805
187,2,2,3,2,1,1,4,0.49533
188,2,2,3,2,1,1,1,1.1054
189,2,1,4,2,5,1,1,1.13683
190,2,2,3,2,1,1,4,0.50954
191,2,1,6,2,1,1,4,0.93214
192,2,2,3,2,2,1,2,0.45186
193,2,2,3,2,10,1,2,1.07954
194,2,2,3,2,1,1,5,0.48681
195,2,2,3,2,1,1,3,1.06362
196,2,1,6,2,5,1,3,0.76274
197,1,2,4,2,2,1,3,0.92731
198,2,1,3,2,1,1,2,0.09951
199,2,2,7,2,1,1,3,0.78842
200,2,2,2,2,2,1,3,0.29202
201,2,2,2,1,5,1,2,0.51123
202,2,2,0,2,1,1,2,1.1054
203,2,2,2,1,2,1,2,0.29064
204,1,1,1,1,3,2,2,0.64697
205,1,2,0,1,3,2,3,0.23099
206,1,2,1,1,3,2,2,0.20126
207,2,2,7,2,1,2,2,0.65694
208,2,2,1,2,3,2,2,-0.39421
209,2,2,3,2,1,1,3,-0.88746
210,1,2,1,2,8,1,3,-1.18016
211,2,1,3,2,1,1,3,0.15648
212,1,2,2,2,3,1,3,0.18869
213,2,2,3,2,1,1,3,-0.16979
214,1,2,3,2,1,1,2,-0.25277
215,2,2,4,2,1,1,3,-0.29289
216,2,2,7,1,5,1,4,-0.56178
217,2,2,7,2,1,1,3,-0.12515
218,2,2,3,2,1,1,5,0.10659
219,2,2,4,2,1,1,1,-0.94239
220,1,2,1,1,3,2,2,0.47053
221,1,1,1,1,3,2,2,0.08675
222,1,2,1,2,3,2,3,0.1959
223,1,1,1,2,3,2,1,0.66245
224,1,2,1,1,3,2,3,-0.4619
225,1,2,1,2,4,2,2,0.08032
226,1,2,3,2,1,2,4,0.91474
227,2,2,2,1,9,1,4,0.92677
228,1,2,0,1,3,8,5,0.62963
229,2,2,3,2,2,1,4,1.53685
230,2,1,4,2,1,1,3,0.92816
231,2,2,4,2,1,1,4,1.26817
232,1,2,1,1,4,2,2,0.97706
233,1,2,1,1,3,2,2,0.0514
234,1,2,1,1,3,2,2,1.30047
235,1,1,1,1,3,1,5,-0.43579
236,1,2,1,1,3,2,1,0.04184
237,1,0,1,2,2,2,2,0.03148
238,2,2,3,2,1,1,3,-0.76983
239,2,2,3,1,1,1,4,-1.36788
240,2,1,4,2,7,1,4,-0.63404
241,2,1,4,1,1,1,1,-1.46942
242,1,2,1,1,2,2,5,-0.99267
243,1,2,2,2,2,2,3,-1.13306
244,1,2,1,2,3,2,3,-1.18408
245,2,1,4,2,1,1,5,0.54393
246,2,2,4,2,1,1,5,-1.05369
247,1,2,1,2,1,1,4,-1.97137
248,1,2,2,2,5,1,4,-1.151
249,2,2,3,2,2,1,4,-1.99332
250,2,2,3,2,1,1,3,-0.66015
251,1,2,3,2,1,1,4,-1.49013
252,1,2,3,2,1,1,2,-1.88456
253,2,2,4,2,1,1,5,-0.48075
254,1,0,2,2,1,1,4,-0.77574
255,1,2,1,1,3,1,4,-0.93613
256,2,1,0,2,7,1,3,-0.98121
257,1,2,3,2,2,1,5,-0.09441
258,1,1,1,2,3,1,5,-1.1663
259,1,1,0,1,3,1,2,-1.95637
260,1,2,2,2,3,1,3,-0.53549
261,1,2,1,1,1,1,4,-0.33722
262,2,0,0,2,1,1,3,-1.03928
263,1,1,1,1,3,1,4,-1.59593
264,2,2,2,1,2,1,2,-1.99332
265,1,2,1,1,4,1,3,-1.6954
266,2,1,4,2,1,1,4,-1.63771
267,2,2,3,1,1,1,3,-1.80415
268,2,1,4,2,1,1,4,-1.59593
269,2,2,3,1,2,1,4,-1.98127
270,2,2,4,1,1,1,3,-1.30035
271,1,1,0,1,3,2,3,-1.66044
272,1,2,1,1,3,2,3,-2.08795
273,1,1,1,2,3,2,1,-2.019
274,1,2,1,1,3,2,3,-2.41794
275,2,1,6,2,2,1,3,-2.1237
276,2,2,3,2,1,1,2,0.71323
277,1,1,0,2,3,1,3,0.95495
278,1,2,2,2,1,1,3,0.82011
279,1,1,0,2,8,3,1,0.27237
280,2,2,3,2,9,1,3,1.26157
281,1,2,2,2,3,1,4,0.58935
282,1,2,3,2,1,1,1,1.27926
283,2,1,5,2,1,1,4,1.25692
284,1,1,0,1,3,2,2,0.49245
285,2,2,1,2,3,1,5,0.96232
286,2,2,5,2,1,1,2,1.1179
287,1,2,1,2,8,1,4,1.59296
288,1,2,3,2,1,1,3,0.05341
289,2,2,4,2,1,1,3,1.73184
290,1,2,1,2,3,1,3,1.31389
291,2,2,3,2,2,1,2,1.58831
292,2,2,3,2,2,1,3,0.85317
